table	team	project	submission
b14	Drop Tables	Design Expo App	submission001
w1	WearDj	AH2	submission002
r3	Cool Engineers	E7 Novel Application for Dual Cool Jet Technology	submission003
b29	A Bay Bay 	Agitating Baby Bottle Warmer	submission004
w21	The Millers	DIY Milling Machine	submission006
r4	ResFIT	Residential Food Inventory Tracker	submission007
b43	Team RoboCam	RoboCam	submission008
r8	Gradient Lifts	Airstair Wheelchair Lift 	submission009
w13	Team Jarvis	Bike Share Helmet Distribution System	submission010
b33	Team Foote	Analysis of Impact Modified PPS	submission011
g28	Team Power Floosh	Self-Powered Automatic Flush Valve	submission012
w2	Flags of Our Fathers	Flag Tether	submission013
r12	Team Wine Chiller	Wine Chiller	submission016
g31	Team Transit	Midtown Alliance Pedicab	submission017
w14	Smart Power	Battery Recharging Trekking Poles	submission018
g4	Pratt & Whitney Ti Group	Improved Characterization of α-β Titanium Alloys	submission019
r13	WheelEase	Collapsible Wheelchair	submission020
w22	This is the End 	Prevention of stripping Phillips screw heads	submission022
b34	Light 'em Up	Easy Install Christmas Lights	submission023
g35	GMELT	Chromic Indicators for Sterilized State	submission024
w47	BrewMasters	Automated Home Brewing System	submission025
w20	Good Vibrations	Area Damper	submission026
b2	Electronic Chess Board	Electronic Chess Board	submission027
b35	Beating the Ratio	Test Method for Latex and Kraton Bladders	submission028
g36	Solvay Specialty Polymers	Environmental Stress Cracking Resistance Widget	submission029
b5	Big Red Rush 	IV Access 	submission030
g37	GT Environmental Health & Safety	Linking Exposure to Hazard in Airborne Carbon Nanotube Levels	submission031
w3	Team Kaolin	IMERYS	submission032
b6	Stick It To The Vein	IV access in Morbidly Obese	submission033
w30	CJ3	EV Energy Reclamation	submission034
w15	Evitics	Event Analytics	submission035
b25	The Mechanics	Wearable Bike Lock	submission036
b26	Nostragastrus	Stabilization of Nasogastric Tubes	submission037
w4	Hope Diamond Security	Hope Diamond Security System	submission038
b49	Infection Rejection	LVAD Driveline Infection	submission039
b7	Dose Detect	Antibiotic Dosing	submission040
r27	Paper, Never Plastic	Paper Bag Redesign	submission042
b56	M-Ear-acle	Ear Laceration Project	submission043
w16	Dentality	Dental Handpiece	submission044
w23	Simmons Bedding Company	Wave Spring Mattress	submission045
r29	Team Steam	Basketball Rebounding Machine with Real-time Player Position Tracking	submission046
r19	WS2	Simultaneous Sampling ADC to USB	submission047
b40	Compress Care	Code Bed	submission048
